propertyName,country,commodity,typeOfWork,status,extentOfProcessing,bestReserveAvailable,reservesTonnes000Units,reserveGrade,reserveGradeUnit,currentProduction,currentProductionUnit,expectedYearlyProductionAtFullCapacity,expectedProductionAtFullCapacityUnit,lifeOfMineYears,projectInceptionYear,projectCompletionYear,companyName,expectedInvestmentMm,probabilityToMoveToInvestmentBy2020,powerSourcingArrangementOrRelationshipBetweenMineAndGrid,sourceOfPower,energyConsumptionKwhTProduct,annualEnergyConsumptionMwh,energyNeedsMw,shareholdingCode,mineLocation,locationNotes,region,tariffPublicUtility,costRelativity,gridEnergySource,gridReliability,source,notes,reference,projectsPre2000,projects20012012,projects2020,repeats
Pering  (Struisbult Springs Zinc),South Africa,Zinc,Surface,closed,intermediate,Probable Reserve,3890,1.86,%,28e3,tons,23800,tons,19,1984,2003,Pering Mine  (Pty) Ltd. (Billiton),123,closed,Grid supply,On-Grid,595,14161,1.48,Sole Ownership by a private company,"(-27.45, 24.7666667)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,USGS,"First run was 1984-2000. The company announced that it would be closing the mine as the economically mineable reserve became depleted. Currently exploring the feasibility of reopening mine. A power line, running adjacent to the west boundary of the mining area is connected to the national power grid from Eskom","Infomine, Mining Weekly, Company Website,VANWOUW.CO.ZA",Yes,Yes,No,TRUE
Sheba's Ridge,South Africa,Nickel from N-C Sulphide,Open-Pit,Feasibility,smelted,Indicated Reserves,339860,0.19,%,NA,NA,23000,tons,16,2013,2029,"Anglo American Platinum Ltd (35%), Aquarius Platinum Ltd (39%), Industrial Development Corp Of South Africa (26%)",972,high,Grid supply,On-Grid,1100,25300,2.64,Join-venture with only private interests,"(-25.4333333, 29.5666667)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,2009; completion of feasibility report. Ridge continues to consult with Pace Global Energy Services to examine alternatives to reduce reliance on grid supply from Eskom due to the current and projected power supply constraints. Further studies and discussions with Eskom are necessary in order for the Company to be in a position to make a development decision.,"Infomine, Feasibility Report 2008, http://www.infomine.com/index/pr/PA645346.PDF",No,No,Yes,TRUE
Sheba's Ridge,South Africa,Palladium,Open-Pit,Feasibility,smelted,Indicated Reserves,366720,0.95,grams,63e4,tons,243000,ounce,20,NA,NA,Ridge 100%,972,high,Grid supply + self-supply backup,"On-Grid, On-Site HFO",46561680,320760,33.41,Sole Ownership by a private company,"(-25.4333333, 29.55)",NA,SA,4,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Ridge continues to consult with Pace Global Energy Services to examine alternatives to reduce reliance on grid supply from Eskom due to the current and projected power supply constraints. Further studies and discussions with Eskom are necessary in order for the Company to be in a position to make a development decision.,http://www.infomine.com/index/pr/PA645346.PDF,No,No,Yes,TRUE
Sheba's Ridge,South Africa,Copper,Open-Pit,Feasibility,smelted,Indicated Reserves,339860,0.07,%,NA,NA,11000,tons,20,2013,2033,"Anglo American Platinum Ltd (35%), Aquarius Platinum Ltd (39%), Industrial Development Corp Of South Africa (26%)",972,high,Grid supply,On-Grid,6050,66550,6.93,Join-venture with only private interests,"(-25.4333333, 29.5666667)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,2009; completion of feasibility report. Ridge continues to consult with Pace Global Energy Services to examine alternatives to reduce reliance on grid supply from Eskom due to the current and projected power supply constraints. Further studies and discussions with Eskom are necessary in order for the Company to be in a position to make a development decision.,"Infomine, Feasibility Report 2008, http://www.infomine.com/index/pr/PA645346.PDF",No,No,Yes,TRUE
Sheba's Ridge,South Africa,Platinum,Open-Pit,Feasibility,smelted,Indicated Reserves,339860,0.88,grams,NA,NA,85000,ounce,20,NA,NA,Ridge 100%,972,high,Grid supply + self-supply backup,"On-Grid, On-Site HFO",46561680,112200,11.69,Sole Ownership by a private company,"(-25.4333333, 29.55)",NA,SA,4,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Ridge continues to consult with Pace Global Energy Services to examine alternatives to reduce reliance on grid supply from Eskom due to the current and projected power supply constraints. Further studies and discussions with Eskom are necessary in order for the Company to be in a position to make a development decision.,http://www.infomine.com/index/pr/PA645346.PDF,No,No,Yes,TRUE
Sheba's Ridge,South Africa,Gold,Open-Pit,Feasibility,refined,Indicated Reserves,366720,0.95,grams,2e4,ounce,20000,ounce,20,NA,NA,Ridge 100%,972,high,Grid supply + self-supply backup,"On-Grid, On-Site HFO",25000000,14175,1.48,Sole Ownership by a private company,"(-25.4333333, 29.55)",NA,SA,4,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Ridge continues to consult with Pace Global Energy Services to examine alternatives to reduce reliance on grid supply from Eskom due to the current and projected power supply constraints. Further studies and discussions with Eskom are necessary in order for the Company to be in a position to make a development decision.,http://www.investorvillage.com/smbd.asp?mb=4586&mn=6248&pt=msg&mid=5016241,No,No,Yes,TRUE
Two Rivers,South Africa,Ruthenium,Underground,Producer,refined,None,NA,NA,NA,1287559,grams,41000,ounce,20,2006,2026,"African Rainbow Minerals Limited( 55%), Impala Platinum Holdings (45%)",250,high,Grid supply,On-Grid,69489780,80770,8.41,Join-venture with only private interests,"(-24.9166667, 30.1)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,NA,NA,No,Yes,Yes,TRUE
Two Rivers,South Africa,Platinum,Underground,Producer,refined,Indicated Reserves,42550,3.75,grams,4519e3,grams,145000,ounce,20,2006,2026,"African Rainbow Minerals Limited( 55%), Impala Platinum Holdings (45%)",250,high,Grid supply,On-Grid,69489780,285650,29.76,Join-venture with only private interests,"(-24.9166667, 30.1)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,NA,"Infomine, Company Website",No,Yes,Yes,TRUE
Two Rivers,South Africa,Palladium,Underground,Producer,refined,None,NA,NA,NA,2616e3,grams,84000,ounce,20,2006,2026,"African Rainbow Minerals Limited( 55%), Impala Platinum Holdings (45%)",250,high,Grid supply,On-Grid,69489780,165480,17.24,Join-venture with only private interests,"(-24.9166667, 30.1)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,NA,NA,No,Yes,Yes,TRUE
Two Rivers,South Africa,Rhodium,Underground,Producer,refined,None,NA,NA,NA,765e3,grams,24000,ounce,20,2006,2026,"African Rainbow Minerals Limited( 55%), Impala Platinum Holdings (45%)",250,high,Grid supply,On-Grid,69489780,47280,4.93,Join-venture with only private interests,"(-24.9166667, 30.1)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,NA,NA,No,Yes,Yes,TRUE
Two Rivers,South Africa,Gold,Underground,Producer,refined,None,NA,NA,NA,61336,grams,1900,ounce,20,2006,2026,"African Rainbow Minerals Limited( 55%), Impala Platinum Holdings (45%)",250,high,Grid supply,On-Grid,45000000,2424,0.25,Join-venture with only private interests,"(-24.9166667, 30.1)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,NA,NA,No,Yes,Yes,TRUE
Zondereinde (Northam Mine),South Africa,Platinum,Underground,Producer,refined,Indicated Reserves,59780,6.05,grams,6118e3,grams,243260,ounce,37,1993,2030,Northam Platinum Ltd,250,high,Grid supply,"On-Grid, On-Site Hydro (for equipment)",69489780,479223,49.92,Sole Ownership by a private company,"(-24.8333333, 27.3333333)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Investmet is an etimate based on yearly investment. Underground equipment driven by hydropower,"Infomine, Company Website",Yes,Yes,Yes,TRUE
Zondereinde (Northam Mine),South Africa,Silver,Underground,Producer,refined,None,NA,NA,NA,2e5,grams,7952,ounce,37,1993,2030,Northam Platinum Ltd,250,high,Grid supply,"On-Grid, On-Site Hydro (for equipment)",9645,2,0,Sole Ownership by a private company,"(-24.8333333, 27.3333333)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,NA,"Infomine, Company Website",Yes,Yes,Yes,TRUE
Zondereinde (Northam Mine),South Africa,Ruthenium,Underground,Producer,refined,None,NA,NA,NA,1227e3,grams,48787,ounce,37,1993,2030,Northam Platinum Ltd,250,high,Grid supply,"On-Grid, On-Site Hydro (for equipment)",69489780,96111,10.01,Sole Ownership by a private company,"(-24.8333333, 27.3333333)",NA,SA,4,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,NA,"Infomine, Company Website",Yes,Yes,Yes,TRUE
Kansanshi,Zambia,Gold,Open-Pit/Underground,Producer,refined,Inferred Resources,161900,0.76,grams,3378824,grams,113000,ounce,16,2005,2021,First Quantum Minerals Ltd,1e3,high,Grid supply,On-Grid,45000000,144157,15.02,Sole Ownership by a private company,"(-12.0833333, 26.4166667)",NA,SA,3.9,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,Zambian power utility Zesco will start construction of a 330 kilovolt power line to the new Kansanshi mine. CEC supplies power to all mines except for First Quantum Minerals in Solwezi where Zesco supplies directly.,Infomine,No,Yes,Yes,TRUE
Kansanshi,Zambia,Copper,Open-Pit/Underground,Producer,refined,Inferred Resources,161900,1.17,%,226444,tons,400000,tons,16,2005,2021,First Quantum Minerals Ltd,1e3,high,Grid supply,On-Grid,8650,3460000,360.42,Sole Ownership by a private company,"(-12.0833333, 26.4166667)",NA,SA,3.9,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,Zambian power utility Zesco will start construction of a 330 kilovolt power line to the new Kansanshi mine. CEC supplies power to all mines except for First Quantum Minerals in Solwezi where Zesco supplies directly.,"Infomine, Mining Weekly, http://www.miningweekly.com/topic/kansanshi-mine-company",No,Yes,Yes,TRUE
Nkana (Mopani),Zambia,Copper,Open-Pit/Underground,Producer,intermediate,Proven Reserves,47050,2.93,%,135e3,tons,150000,tons,99,1937,2036,Mopani Copper Mines (100%),1500,high,Grid supply,On-Grid,7000,1050000,109.38,Sole Ownership by a private company,"(-12.8333333, 28.2)",NA,SA,3.9,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,"CEC (Copperbelt Energy Company) (buying power from Zesco the public utility) supplies power to Konkola Copper Mines, Zambia’s largest copper producer, Mopani Copper Mines and the recently closed Luanshya Copper Mines.","Infomine, Company Website, http://copperinvestingnews.com/5823-mopani-copper-mines-to-extend-nkana-copper-mine-lifespan.html",Yes,Yes,Yes,TRUE
Nkana (Mopani),Zambia,Cobalt,Open-Pit/Underground,Producer,intermediate,Proven Reserves,47050,0.12,%,1400,tons,3000,tons,99,1937,2036,Mopani Copper Mines (100%),NA,high,Grid supply,On-Grid,7000,21000,2.19,Sole Ownership by a private company,"(-12.8333333, 28.2)",NA,SA,3.9,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,NA,"Infomine, http://copperinvestingnews.com/5823-mopani-copper-mines-to-extend-nkana-copper-mine-lifespan.html",Yes,Yes,Yes,TRUE
China Sunlight,Zimbabwe,Coal,Underground,Feasibility,smelted,Combined Resources,4000000,NA,NA,NA,NA,300000,tons,15,2014,2029,"Oldstone Investments (Zimbabwean Investment Vehicle) And Shandong Taishan Sunlight,",2100,high,Self-supply + sell to the grid,On-site Coal,1355,406500,42.34,Join-venture with only private interests,NA,In Gwayi in the western Matabeleland region,SA,9.8,below tariff,Mainly Coal Fuelled Generation,50 to 100 days,WB,Build a 600 MW power plant - 400 MW sold back to the grid. LOM Assumed,Company Website,No,No,Yes,TRUE
China Sunlight,Zimbabwe,Coal,Underground,Feasibility,crushed,Combined Resources,4000000,NA,NA,NA,NA,3000000,tons,15,2014,2029,"Oldstone Investments (Zimbabwean Investment Vehicle) And Shandong Taishan Sunlight,",2100,high,Self-supply + sell to the grid,On-site Coal,55,165000,17.19,Join-venture with only private interests,NA,In Gwayi in the western Matabeleland region,SA,9.8,below tariff,Mainly Coal Fuelled Generation,50 to 100 days,WB,Build a 600 MW power plant - 400 MW sold back to the grid. LOM Assumed,Company Website,No,No,Yes,TRUE
