<<<<<<< HEAD
Unit,multiplier,measure,quarter_end,value,project,year
$,Actual,By-product cash costs (per gold ounce),3/31/16,415,Alumbrera,2016
$,Actual,Mining cost per tonne,3/31/16,3.08,Alumbrera,2016
$,Actual,Milling cost per tonne,3/31/16,5.27,Alumbrera,2016
$,Actual,General administrative cost per tonne,3/31/16,1.21,Alumbrera,2016
$,Million,Revenues (millions),3/31/16,40,Alumbrera,2016
$,Million,Depreciation and depletion (millions),3/31/16,3,Alumbrera,2016
$,Million,Earnings from operations (millions),3/31/16,8,Alumbrera,2016
$,Million,Expenditures on mining interests (millions),3/31/16,0,Alumbrera,2016
 ,Actual,Tonnes of ore mined,3/31/16,2553000,Pueblo Viejo,2016
 ,Actual,Tonnes of waste removed,3/31/16,882600,Pueblo Viejo,2016
 ,Actual,Tonnes of ore processed,3/31/16,730100,Pueblo Viejo,2016
 ,Actual,Average grade - gold,3/31/16,4.5,Pueblo Viejo,2016
 ,Actual,Average gold recovey rate %,3/31/16,0.9,Pueblo Viejo,2016
 ,Actual,Gold (ounces) produced,3/31/16,95000,Pueblo Viejo,2016
 ,Actual,Gold (ounces) sold,3/31/16,95000,Pueblo Viejo,2016
$,Actual,All-in sustaining costs (per gold ounce),3/31/16,541,Pueblo Viejo,2016
$,Actual,By-product cash cost (per gold ounce),3/31/16,439,Pueblo Viejo,2016
$,Actual,Mining cost per tonne,3/31/16,3.02,Pueblo Viejo,2016
$,Actual,Milling cost per tonne,3/31/16,44.33,Pueblo Viejo,2016
$,Actual,General administrative cost per tonne,3/31/16,11.84,Pueblo Viejo,2016
$,Million,Revenues,3/31/16,122,Pueblo Viejo,2016
$,Million,Depreciation and depletion,3/31/16,9,Pueblo Viejo,2016
$,Million,Earnings (loss) from operations,3/31/16,66,Pueblo Viejo,2016
$,Million,Expenditures on mining interests,3/31/16,9,Pueblo Viejo,2016
 ,Actual,Gold (ounces) produced,6/30/17,635000,Total,2017
 ,Actual,Silver (ounces) produced,6/30/17,7400000,Total,2017
 ,Thousand,Copper (thousands of pounds) produced,6/30/17,7900,Total,2017
 ,Thousand,Lead (thousands of pounds) produced,6/30/17,26100,Total,2017
 ,Thousand,Zinc (thousands of pounds) produced,6/30/17,84100,Total,2017
 ,Actual,Gold (ounces) sold,6/30/17,649000,Total,2017
$,Actual,Average realized gold price (per ounce),6/30/17,1256,Total,2017
$,Actual,Average realized silver price (per ounce),6/30/17,14.54,Total,2017
$,Actual,Average realized copper price (per pound),6/30/17,2.58,Total,2017
$,Actual,Average realized lead price (per pound),6/30/17,0.98,Total,2017
$,Actual,Average realized zinc price (per pound),6/30/17,1.16,Total,2017
$,Actual,All-in sustaining costs $/oz (per gold ounce) (from continuing operations),6/30/17,800,Total,2017
$,Actual,By-product cash costs $/oz (per gold ounce) (from continuing operations),6/30/17,510,Total,2017
$,Actual,Co-product cash costs $/oz (per gold ounce) (from continuing operations),6/30/17,644,Total,2017
$,Million,Revenues (Adjusted),6/30/17,1050,Total,2017
$,Million,Revenues (GAAP),6/30/17,822,Total,2017
$,Million,Net (Loss) Earnings,6/30/17,135,Total,2017
 ,Actual,Tonnes of ore mined,6/30/17,149500,Red Lake,2017
 ,Actual,Tonnes of ore milled,6/30/17,149500,Red Lake,2017
 ,Actual,Average mill head grade (Au grams/tonne),6/30/17,12.75,Red Lake,2017
 ,Actual,Average gold recovery rate %,6/30/17,0.95,Red Lake,2017
 ,Actual,Gold (ounces) produced,6/30/17,58000,Red Lake,2017
 ,Actual,Gold (ounces) sold,6/30/17,58000,Red Lake,2017
$,Actual,All-in sustaining costs (per gold ounce),6/30/17,1120,Red Lake,2017
$,Actual,By-product cash costs (per gold ounce),6/30/17,828,Red Lake,2017
$,Actual,Mining cost per tonne,6/30/17,203.03,Red Lake,2017
$,Actual,Milling cost per tonne,6/30/17,35.99,Red Lake,2017
$,Actual,General administrative cost per tonne,6/30/17,68.85,Red Lake,2017
$,Million,Revenues (millions),6/30/17,74,Red Lake,2017
$,Million,Depreciation and depletion (millions),6/30/17,23,Red Lake,2017
$,Million,Earnings from operations (millions),6/30/17,0,Red Lake,2017
$,Million,Expenditures on mining interests (millions),6/30/17,20,Red Lake,2017
 ,Actual,Tonnes of ore mined underground,6/30/17,188100,Porcupine,2017
 ,Actual,Tonnes of ore mined open pit,6/30/17,594200,Porcupine,2017
 ,Actual,Tonnes of waste mined,6/30/17,1892400,Porcupine,2017
 ,Actual,Tonnes of ore milled,6/30/17,687300,Porcupine,2017
 ,Actual,Average mill head grade (Au grams/tonne),6/30/17,2.96,Porcupine,2017
 ,Actual,Average gold recovery rate %,6/30/17,0.93,Porcupine,2017
 ,Actual,Gold (ounces) produced,6/30/17,60000,Porcupine,2017
 ,Actual,Gold (ounces) sold,6/30/17,60000,Porcupine,2017
$,Actual,All-in sustaining costs (per ounce),6/30/17,1052,Porcupine,2017
$,Actual,By-product cash costs (per gold ounce),6/30/17,777,Porcupine,2017
$,Actual,Mining cost per tonne,6/30/17,123.01,Porcupine,2017
$,Actual,Milling cost per tonne,6/30/17,9.25,Porcupine,2017
$,Actual,General administrative cost per tonne,6/30/17,10.61,Porcupine,2017
$,Million,Revenues (millions),6/30/17,76,Porcupine,2017
$,Million,Depreciation and depletion (millions),6/30/17,27,Porcupine,2017
$,Million,Earnings from operations (millions),6/30/17,-2,Porcupine,2017
$,Million,Expenditures on mining interests (millions),6/30/17,36,Porcupine,2017
 ,Actual,Tonnes of ore mined,6/30/17,283900,Musselwhite,2017
 ,Actual,Tonnes of ore milled,6/30/17,277700,Musselwhite,2017
 ,Actual,Average mill head grade (Au grams/tonne),6/30/17,6.52,Musselwhite,2017
 ,Actual,Average gold recovery rate %,6/30/17,0.96,Musselwhite,2017
 ,Actual,Gold (ounces) produced,6/30/17,57000,Musselwhite,2017
 ,Actual,Gold (ounces) sold,6/30/17,55000,Musselwhite,2017
$,Actual,All-in sustaining costs (per ounce),6/30/17,826,Musselwhite,2017
$,Actual,By-product cash costs (per gold ounce),6/30/17,658,Musselwhite,2017
$,Actual,Mining cost per tonne,6/30/17,64.25,Musselwhite,2017
$,Actual,Milling cost per tonne,6/30/17,15.35,Musselwhite,2017
$,Actual,General administrative cost per tonne,6/30/17,45.36,Musselwhite,2017
$,Million,Revenues (millions),6/30/17,69,Musselwhite,2017
$,Million,Depreciation and depletion (millions),6/30/17,10,Musselwhite,2017
$,Million,Earnings from operations (millions),6/30/17,21,Musselwhite,2017
$,Million,Expenditures on mining interests (millions),6/30/17,14,Musselwhite,2017
 ,Actual,Tonnes of ore mined,6/30/17,416000,Eleonore,2017
 ,Actual,Tonnes of ore milled,6/30/17,431600,Eleonore,2017
 ,Actual,Average mill head grade (Au grams/tonne),6/30/17,5.15,Eleonore,2017
 ,Actual,Average gold recovery rate %,6/30/17,0.91,Eleonore,2017
 ,Actual,Gold (ounces) produced,6/30/17,66000,Eleonore,2017
 ,Actual,Gold (ounces) sold,6/30/17,68000,Eleonore,2017
$,Actual,All-in sustaining costs (per ounce),6/30/17,1229,Eleonore,2017
$,Actual,By-product cash costs (per gold ounce),6/30/17,891,Eleonore,2017
$,Actual,Mining cost per tonne,6/30/17,63.21,Eleonore,2017
$,Actual,Milling cost per tonne,6/30/17,33.6,Eleonore,2017
$,Actual,General administrative cost per tonne,6/30/17,35.26,Eleonore,2017
$,Million,Revenues (millions),6/30/17,86,Eleonore,2017
$,Million,Depreciation and depletion (millions),6/30/17,32,Eleonore,2017
$,Million,Loss from operations (millions),6/30/17,-7,Eleonore,2017
$,Million,Expenditures on mining interests (millions),6/30/17,29,Eleonore,2017
 ,Actual,Tonnes of ore mined,6/30/17,9684300,Penasquito,2017
 ,Actual,Tonnes of waste removed,6/30/17,35779700,Penasquito,2017
 ,Actual,Average head grade (Au grams/tonne),6/30/17,0.73,Penasquito,2017
 ,Actual,Average head grade (Ag grams/tonne),6/30/17,22.03,Penasquito,2017
 ,Actual,Average head grade (Pb%),6/30/17,0.002,Penasquito,2017
 ,Actual,Average head grade (Zn%),6/30/17,0.0064,Penasquito,2017
 ,Actual,Sulphide Ore - Tonnes of ore milled,6/30/17,8740300,Penasquito,2017
 ,Actual,Gold average recovery rate (%),6/30/17,0.66,Penasquito Sulphide,2017
 ,Actual,Silver average recovery rate (%),6/30/17,0.81,Penasquito Sulphide,2017
 ,Actual,Lead average recovery rate (%),6/30/17,0.71,Penasquito Sulphide,2017
 ,Actual,Zinc average recovery rate (%),6/30/17,0.81,Penasquito Sulphide,2017
 ,Actual,Gold (ounces) produced,6/30/17,123000,Penasquito,2017
 ,Actual,Silver (ounces) produced,6/30/17,5331000,Penasquito,2017
 ,Thousand,Lead (thousands of pounds) produced,6/30/17,26100,Penasquito,2017
 ,Thousand,Zinc (thousands of pounds) produced,6/30/17,84100,Penasquito,2017
 ,Actual,Gold (ounces) sold,6/30/17,133000,Penasquito,2017
 ,Actual,Silver (ounces) sold,6/30/17,5676000,Penasquito,2017
 ,Thousand,Lead (thousands of pounds) sold,6/30/17,27300,Penasquito,2017
 ,Thousand,Zinc (thousands of pounds) sold,6/30/17,85700,Penasquito,2017
$,Actual,All-in sustaining costs (per ounce),6/30/17,328,Penasquito,2017
$,Actual,By-product cash costs (per gold ounce),6/30/17,26,Penasquito,2017
$,Actual,Mining cost per tonne,6/30/17,2.4,Penasquito,2017
$,Actual,Milling cost per tonne,6/30/17,6.08,Penasquito,2017
$,Actual,General admistrative cost per tonne,6/30/17,2.96,Penasquito,2017
$,Million,Revenues (millions),6/30/17,335,Penasquito,2017
$,Million,Depreciation and depletion (millions),6/30/17,67,Penasquito,2017
$,Million,Earnings (Loss) from operations (millions),6/30/17,94,Penasquito,2017
$,Million,Expenditures on mining interests (millions),6/30/17,81,Penasquito,2017
 ,Actual,total tonnes mined,6/30/17,242300,Cerro Negro,2017
 ,Actual,Tonnes of ore milled,6/30/17,267600,Cerro Negro,2017
 ,Actual,Average mill head grade (Gold gramms/tonne),6/30/17,13.42,Cerro Negro,2017
 ,Actual,Average mill head grade (Silver gramms/tonne),6/30/17,119.6,Cerro Negro,2017
 ,Actual,Average gold recovery rate %,6/30/17,0.96,Cerro Negro,2017
 ,Actual,Average silver recovery rate %,6/30/17,0.85,Cerro Negro,2017
 ,Actual,Gold (ounces) produced,6/30/17,112000,Cerro Negro,2017
 ,Actual,Silver (ounces) produced,6/30/17,883000,Cerro Negro,2017
 ,Actual,Gold equivalent (ounces) produced,6/30/17,125000,Cerro Negro,2017
 ,Actual,Gold (ounces) sold,6/30/17,107000,Cerro Negro,2017
 ,Actual,Silver (ounces) sold,6/30/17,815000,Cerro Negro,2017
$,Actual,Total cash costs - by - product (per ounce),6/30/17,484,Cerro Negro,2017
$,Actual,Total cash costs - co - product (per ounce),6/30/17,547,Cerro Negro,2017
$,Actual,All in sustaining costs (per ounce),6/30/17,694,Cerro Negro,2017
$,Actual,Mining cost per tonne,6/30/17,102.49,Cerro Negro,2017
$,Actual,Milling cost per tonne,6/30/17,31.3,Cerro Negro,2017
$,Actual,General administrative cost per tonne,6/30/17,96.74,Cerro Negro,2017
$,Million,Revenues (millions),6/30/17,149,Cerro Negro,2017
$,Million,Depreciation and depletion (millions),6/30/17,64,Cerro Negro,2017
$,Million,Earnings (loss) from operations (millions),6/30/17,15,Cerro Negro,2017
$,Million,Expenditures on mining interests (millions),6/30/17,22,Cerro Negro,2017
 ,Actual,Tonnes of ore mined,6/30/17,2200800,Pueblo Viejo,2017
 ,Actual,Tonnes of waste removed,6/30/17,1674600,Pueblo Viejo,2017
 ,Actual,Tonnes of ore processed,6/30/17,837000,Pueblo Viejo,2017
 ,Actual,Average grade - gold,6/30/17,4.53,Pueblo Viejo,2017
 ,Actual,Average gold recovey rate %,6/30/17,0.94,Pueblo Viejo,2017
 ,Actual,Gold (ounces) produced,6/30/17,115000,Pueblo Viejo,2017
 ,Actual,Gold (ounces) sold,6/30/17,114000,Pueblo Viejo,2017
$,Actual,All-in sustaining costs (per gold ounce),6/30/17,440,Pueblo Viejo,2017
$,Actual,By-product cash cost (per gold ounce),6/30/17,333,Pueblo Viejo,2017
$,Actual,Mining cost per tonne,6/30/17,2.98,Pueblo Viejo,2017
$,Actual,Milling cost per tonne,6/30/17,34.17,Pueblo Viejo,2017
$,Actual,General administrative cost per tonne,6/30/17,6.5,Pueblo Viejo,2017
$,Million,Revenues,6/30/17,153,Pueblo Viejo,2017
$,Million,Depreciation and depletion,6/30/17,11,Pueblo Viejo,2017
$,Million,Earnings (loss) from operations,6/30/17,94,Pueblo Viejo,2017
$,Million,Expenditures on mining interests,6/30/17,10,Pueblo Viejo,2017
 ,Actual,Gold (ounces) produced,9/30/17,633000,Total,2017
 ,Actual,Silver (ounces) produced,9/30/17,7.00E+06,Total,2017
 ,Thousand,Copper (thousands of pounds) produced,9/30/17,6300,Total,2017
 ,Thousand,Lead (thousands of pounds) produced,9/30/17,38300,Total,2017
 ,Thousand,Zinc (thousands of pounds) produced,9/30/17,98390,Total,2017
 ,Actual,Gold (ounces) sold,9/30/17,606000,Total,2017
$,Actual,Average realized gold price (per ounce),9/30/17,1287,Total,2017
$,Actual,Average realized silver price (per ounce),9/30/17,14.17,Total,2017
$,Actual,Average realized copper price (per pound),9/30/17,3.28,Total,2017
$,Actual,Average realized lead price (per pound),9/30/17,1.1,Total,2017
$,Actual,Average realized zinc price (per pound),9/30/17,1.43,Total,2017
$,Actual,All-in sustaining costs $/oz (per gold ounce) (from continuing operations),9/30/17,827,Total,2017
$,Actual,By-product cash costs $/oz (per gold ounce) (from continuing operations),9/30/17,483,Total,2017
$,Actual,Co-product cash costs $/oz (per gold ounce) (from continuing operations),9/30/17,663,Total,2017
$,Million,Revenues (Adjusted),9/30/17,1036,Total,2017
$,Million,Revenues (GAAP),9/30/17,866,Total,2017
$,Million,Net (Loss) Earnings,9/30/17,111,Total,2017
 ,Actual,Tonnes of ore mined,9/30/17,142800,Red Lake,2017
 ,Actual,Tonnes of ore milled,9/30/17,142800,Red Lake,2017
 ,Actual,Average mill head grade (Au grams/tonne),9/30/17,11.25,Red Lake,2017
 ,Actual,Average gold recovery rate %,9/30/17,0.93,Red Lake,2017
 ,Actual,Gold (ounces) produced,9/30/17,43000,Red Lake,2017
 ,Actual,Gold (ounces) sold,9/30/17,38000,Red Lake,2017
$,Actual,All-in sustaining costs (per gold ounce),9/30/17,1417,Red Lake,2017
$,Actual,By-product cash costs (per gold ounce),9/30/17,981,Red Lake,2017
$,Actual,Mining cost per tonne,9/30/17,220.81,Red Lake,2017
$,Actual,Milling cost per tonne,9/30/17,40.07,Red Lake,2017
$,Actual,General administrative cost per tonne,9/30/17,70.78,Red Lake,2017
$,Million,Revenues (millions),9/30/17,49,Red Lake,2017
$,Million,Depreciation and depletion (millions),9/30/17,18,Red Lake,2017
$,Million,Earnings from operations (millions),9/30/17,-6,Red Lake,2017
$,Million,Expenditures on mining interests (millions),9/30/17,18,Red Lake,2017
 ,Actual,Tonnes of ore mined underground,9/30/17,200400,Porcupine,2017
 ,Actual,Tonnes of ore mined open pit,9/30/17,674400,Porcupine,2017
 ,Actual,Tonnes of waste mined,9/30/17,1632800,Porcupine,2017
 ,Actual,Tonnes of ore milled,9/30/17,881400,Porcupine,2017
 ,Actual,Average mill head grade (Au grams/tonne),9/30/17,2.83,Porcupine,2017
 ,Actual,Average gold recovery rate %,9/30/17,0.92,Porcupine,2017
 ,Actual,Gold (ounces) produced,9/30/17,75000,Porcupine,2017
 ,Actual,Gold (ounces) sold,9/30/17,70000,Porcupine,2017
$,Actual,All-in sustaining costs (per ounce),9/30/17,978,Porcupine,2017
$,Actual,By-product cash costs (per gold ounce),9/30/17,758,Porcupine,2017
$,Actual,Mining cost per tonne,9/30/17,128.24,Porcupine,2017
$,Actual,Milling cost per tonne,9/30/17,8.54,Porcupine,2017
$,Actual,General administrative cost per tonne,9/30/17,8.77,Porcupine,2017
$,Million,Revenues (millions),9/30/17,89,Porcupine,2017
$,Million,Depreciation and depletion (millions),9/30/17,32,Porcupine,2017
$,Million,Earnings from operations (millions),9/30/17,-4,Porcupine,2017
$,Million,Expenditures on mining interests (millions),9/30/17,24,Porcupine,2017
 ,Actual,Tonnes of ore mined,9/30/17,330400,Musselwhite,2017
 ,Actual,Tonnes of ore milled,9/30/17,330800,Musselwhite,2017
 ,Actual,Average mill head grade (Au grams/tonne),9/30/17,5.68,Musselwhite,2017
 ,Actual,Average gold recovery rate %,9/30/17,0.97,Musselwhite,2017
 ,Actual,Gold (ounces) produced,9/30/17,58000,Musselwhite,2017
 ,Actual,Gold (ounces) sold,9/30/17,57000,Musselwhite,2017
$,Actual,All-in sustaining costs (per ounce),9/30/17,674,Musselwhite,2017
$,Actual,By-product cash costs (per gold ounce),9/30/17,587,Musselwhite,2017
$,Actual,Mining cost per tonne,9/30/17,61.6,Musselwhite,2017
$,Actual,Milling cost per tonne,9/30/17,12.49,Musselwhite,2017
$,Actual,General administrative cost per tonne,9/30/17,38.47,Musselwhite,2017
$,Million,Revenues (millions),9/30/17,72,Musselwhite,2017
$,Million,Depreciation and depletion (millions),9/30/17,11,Musselwhite,2017
$,Million,Earnings from operations (millions),9/30/17,25,Musselwhite,2017
$,Million,Expenditures on mining interests (millions),9/30/17,11,Musselwhite,2017
 ,Actual,Tonnes of ore mined,9/30/17,460900,Eleonore,2017
 ,Actual,Tonnes of ore milled,9/30/17,442000,Eleonore,2017
 ,Actual,Average mill head grade (Au grams/tonne),9/30/17,5.85,Eleonore,2017
 ,Actual,Average gold recovery rate %,9/30/17,0.92,Eleonore,2017
 ,Actual,Gold (ounces) produced,9/30/17,77000,Eleonore,2017
 ,Actual,Gold (ounces) sold,9/30/17,74000,Eleonore,2017
$,Actual,All-in sustaining costs (per ounce),9/30/17,1067,Eleonore,2017
$,Actual,By-product cash costs (per gold ounce),9/30/17,802,Eleonore,2017
$,Actual,Mining cost per tonne,9/30/17,64.74,Eleonore,2017
$,Actual,Milling cost per tonne,9/30/17,34.75,Eleonore,2017
$,Actual,General administrative cost per tonne,9/30/17,34.32,Eleonore,2017
$,Million,Revenues (millions),9/30/17,95,Eleonore,2017
$,Million,Depreciation and depletion (millions),9/30/17,33,Eleonore,2017
$,Million,Loss from operations (millions),9/30/17,0,Eleonore,2017
$,Million,Expenditures on mining interests (millions),9/30/17,26,Eleonore,2017
 ,Actual,Tonnes of ore mined,9/30/17,10304500,Penasquito,2017
 ,Actual,Tonnes of waste removed,9/30/17,33416600,Penasquito,2017
 ,Actual,Average head grade (Au grams/tonne),9/30/17,0.71,Penasquito,2017
 ,Actual,Average head grade (Ag grams/tonne),9/30/17,26.31,Penasquito,2017
 ,Actual,Average head grade (Pb%),9/30/17,0.0026,Penasquito,2017
 ,Actual,Average head grade (Zn%),9/30/17,0.0069,Penasquito,2017
 ,Actual,Sulphide Ore - Tonnes of ore milled,9/30/17,9251000,Penasquito,2017
 ,Actual,Gold average recovery rate (%),9/30/17,0.7,Penasquito Sulphide,2017
 ,Actual,Silver average recovery rate (%),9/30/17,0.84,Penasquito Sulphide,2017
 ,Actual,Lead average recovery rate (%),9/30/17,0.77,Penasquito Sulphide,2017
 ,Actual,Zinc average recovery rate (%),9/30/17,0.82,Penasquito Sulphide,2017
 ,Actual,Gold (ounces) produced,9/30/17,133000,Penasquito,2017
 ,Actual,Silver (ounces) produced,9/30/17,5837000,Penasquito,2017
 ,Thousand,Lead (thousands of pounds) produced,9/30/17,38300,Penasquito,2017
 ,Thousand,Zinc (thousands of pounds) produced,9/30/17,98400,Penasquito,2017
 ,Actual,Gold (ounces) sold,9/30/17,133000,Penasquito,2017
 ,Actual,Silver (ounces) sold,9/30/17,5910000,Penasquito,2017
 ,Thousand,Lead (thousands of pounds) sold,9/30/17,36200,Penasquito,2017
 ,Thousand,Zinc (thousands of pounds) sold,9/30/17,92400,Penasquito,2017
$,Actual,All-in sustaining costs (per ounce),9/30/17,288,Penasquito,2017
$,Actual,By-product cash costs (per gold ounce),9/30/17,-168,Penasquito,2017
$,Actual,Mining cost per tonne,9/30/17,2.41,Penasquito,2017
$,Actual,Milling cost per tonne,9/30/17,6.27,Penasquito,2017
$,Actual,General admistrative cost per tonne,9/30/17,2.94,Penasquito,2017
$,Million,Revenues (millions),9/30/17,395,Penasquito,2017
$,Million,Depreciation and depletion (millions),9/30/17,77,Penasquito,2017
$,Million,Earnings (Loss) from operations (millions),9/30/17,118,Penasquito,2017
$,Million,Expenditures on mining interests (millions),9/30/17,152,Penasquito,2017
 ,Actual,total tonnes mined,9/30/17,244300,Cerro Negro,2017
 ,Actual,Tonnes of ore milled,9/30/17,259900,Cerro Negro,2017
 ,Actual,Average mill head grade (Gold gramms/tonne),9/30/17,14.32,Cerro Negro,2017
 ,Actual,Average mill head grade (Silver gramms/tonne),9/30/17,123.27,Cerro Negro,2017
 ,Actual,Average gold recovery rate %,9/30/17,0.96,Cerro Negro,2017
 ,Actual,Average silver recovery rate %,9/30/17,0.83,Cerro Negro,2017
 ,Actual,Gold (ounces) produced,9/30/17,115000,Cerro Negro,2017
 ,Actual,Silver (ounces) produced,9/30/17,836000,Cerro Negro,2017
 ,Actual,Gold equivalent (ounces) produced,9/30/17,128000,Cerro Negro,2017
 ,Actual,Gold (ounces) sold,9/30/17,118000,Cerro Negro,2017
 ,Actual,Silver (ounces) sold,9/30/17,870000,Cerro Negro,2017
$,Actual,Total cash costs - by - product (per ounce),9/30/17,510,Cerro Negro,2017
$,Actual,Total cash costs - co - product (per ounce),9/30/17,568,Cerro Negro,2017
$,Actual,All in sustaining costs (per ounce),9/30/17,712,Cerro Negro,2017
$,Actual,Mining cost per tonne,9/30/17,95.46,Cerro Negro,2017
$,Actual,Milling cost per tonne,9/30/17,31.82,Cerro Negro,2017
$,Actual,General administrative cost per tonne,9/30/17,115.1,Cerro Negro,2017
$,Million,Revenues (millions),9/30/17,166,Cerro Negro,2017
$,Million,Depreciation and depletion (millions),9/30/17,72,Cerro Negro,2017
$,Million,Earnings (loss) from operations (millions),9/30/17,15,Cerro Negro,2017
$,Million,Expenditures on mining interests (millions),9/30/17,20,Cerro Negro,2017
 ,Actual,Tonnes of ore mined,9/30/17,2081300,Pueblo Viejo,2017
 ,Actual,Tonnes of waste removed,9/30/17,2033500,Pueblo Viejo,2017
 ,Actual,Tonnes of ore processed,9/30/17,712200,Pueblo Viejo,2017
 ,Actual,Average grade - gold,9/30/17,4.77,Pueblo Viejo,2017
 ,Actual,Average gold recovey rate %,9/30/17,0.93,Pueblo Viejo,2017
 ,Actual,Gold (ounces) produced,9/30/17,101000,Pueblo Viejo,2017
 ,Actual,Gold (ounces) sold,9/30/17,95000,Pueblo Viejo,2017
$,Actual,All-in sustaining costs (per gold ounce),9/30/17,612,Pueblo Viejo,2017
$,Actual,By-product cash cost (per gold ounce),9/30/17,452,Pueblo Viejo,2017
$,Actual,Mining cost per tonne,9/30/17,2.81,Pueblo Viejo,2017
$,Actual,Milling cost per tonne,9/30/17,51.75,Pueblo Viejo,2017
$,Actual,General administrative cost per tonne,9/30/17,11.22,Pueblo Viejo,2017
$,Million,Revenues,9/30/17,128,Pueblo Viejo,2017
$,Million,Depreciation and depletion,9/30/17,9,Pueblo Viejo,2017
$,Million,Earnings (loss) from operations,9/30/17,70,Pueblo Viejo,2017
=======
Unit,multiplier,measure,quarter_end,value,project,year
 ,Actual,Gold (ounces) produced,3/31/12,498200,Total,2012
 ,Actual,Silver (ounces) produced,3/31/12,6618500,Total,2012
 ,Thousand,Copper (thousands of pounds) produced,3/31/12,24100,Total,2012
 ,Thousand,Lead (thousands of pounds) produced,3/31/12,39200,Total,2012
 ,Thousand,Zinc (thousands of pounds) produced,3/31/12,63800,Total,2012
 ,Actual,Gold (ounces) sold,3/31/12,519300,Total,2012
$,Actual,Average realized gold price (per ounce),3/31/12,1708,Total,2012
$,Actual,All-in sustaining costs $/oz (per gold ounce) (from continuing operations),3/31/12,807,Total,2012
$,Actual,By-product cash costs $/oz (per gold ounce) (from continuing operations),3/31/12,251,Total,2012
$,Actual,Co-product cash costs $/oz (per gold ounce) (from continuing operations),3/31/12,648,Total,2012
$,Million,Revenues (GAAP),3/31/12,1166,Total,2012
$,Million,Net (Loss) Earnings,3/31/12,479,Total,2012
 ,Actual,Tonnes of ore mined,3/31/12,220100,Red Lake,2012
 ,Actual,Average mill head grade (Au grams/tonne),3/31/12,16.32,Red Lake,2012
 ,Actual,Average gold recovery rate %,3/31/12,0.96,Red Lake,2012
 ,Actual,Gold (ounces) produced,3/31/12,114200,Red Lake,2012
 ,Actual,Gold (ounces) sold,3/31/12,114800,Red Lake,2012
$,Actual,By-product cash costs (per gold ounce),3/31/12,523,Red Lake,2012
$,Million,Revenues (millions),3/31/12,195,Red Lake,2012
$,Million,Depreciation and depletion (millions),3/31/12,18,Red Lake,2012
$,Million,Earnings from operations (millions),3/31/12,112,Red Lake,2012
$,Million,Expenditures on mining interests (millions),3/31/12,61,Red Lake,2012
 ,Actual,Tonnes of ore milled,3/31/12,1017800,Porcupine,2012
 ,Actual,Average mill head grade (Au grams/tonne),3/31/12,2.07,Porcupine,2012
 ,Actual,Average gold recovery rate %,3/31/12,0.92,Porcupine,2012
 ,Actual,Gold (ounces) produced,3/31/12,60700,Porcupine,2012
 ,Actual,Gold (ounces) sold,3/31/12,60500,Porcupine,2012
$,Actual,By-product cash costs (per gold ounce),3/31/12,786,Porcupine,2012
$,Million,Revenues (millions),3/31/12,103,Porcupine,2012
$,Million,Depreciation and depletion (millions),3/31/12,13,Porcupine,2012
$,Million,Earnings from operations (millions),3/31/12,39,Porcupine,2012
$,Million,Expenditures on mining interests (millions),3/31/12,22,Porcupine,2012
 ,Actual,Tonnes of ore milled,3/31/12,327400,Musselwhite,2012
 ,Actual,Average mill head grade (Au grams/tonne),3/31/12,5.43,Musselwhite,2012
 ,Actual,Average gold recovery rate %,3/31/12,0.96,Musselwhite,2012
 ,Actual,Gold (ounces) produced,3/31/12,53200,Musselwhite,2012
 ,Actual,Gold (ounces) sold,3/31/12,55800,Musselwhite,2012
$,Actual,By-product cash costs (per gold ounce),3/31/12,844,Musselwhite,2012
$,Million,Revenues (millions),3/31/12,94,Musselwhite,2012
$,Million,Depreciation and depletion (millions),3/31/12,10,Musselwhite,2012
$,Million,Earnings from operations (millions),3/31/12,31,Musselwhite,2012
$,Million,Expenditures on mining interests (millions),3/31/12,19,Musselwhite,2012
 ,Actual,Tonnes of ore mined,3/31/12,8224800,Penasquito,2012
 ,Actual,Tonnes of waste removed,3/31/12,32225155,Penasquito,2012
 ,Actual,Average head grade (Au grams/tonne),3/31/12,0.36,Penasquito,2012
 ,Actual,Average head grade (Ag grams/tonne),3/31/12,24.84,Penasquito,2012
 ,Actual,Average head grade (Pb%),3/31/12,0.0031,Penasquito,2012
 ,Actual,Average head grade (Zn%),3/31/12,0.0056,Penasquito,2012
 ,Actual,Sulphide Ore - Tonnes of ore milled,3/31/12,8393100,Penasquito,2012
 ,Actual,Gold average recovery rate (%),3/31/12,0.64,Penasquito Sulphide,2012
 ,Actual,Silver average recovery rate (%),3/31/12,0.75,Penasquito Sulphide,2012
 ,Actual,Lead average recovery rate (%),3/31/12,0.73,Penasquito Sulphide,2012
 ,Actual,Zinc average recovery rate (%),3/31/12,0.72,Penasquito Sulphide,2012
 ,Actual,Gold (ounces) produced,3/31/12,68600,Penasquito,2012
 ,Actual,Silver (ounces) produced,3/31/12,4955400,Penasquito,2012
 ,Thousand,Lead (thousands of pounds) produced,3/31/12,39200,Penasquito,2012
 ,Thousand,Zinc (thousands of pounds) produced,3/31/12,63800,Penasquito,2012
 ,Actual,Gold (ounces) sold,3/31/12,87500,Penasquito,2012
 ,Actual,Silver (ounces) sold,3/31/12,7045000,Penasquito,2012
